%eval_id interface log__t_efold_shallow log__t_efold_deep f_exfiltration_shallow PDD_melt_factor log__Hmax_shallow log__routing_K neg_kge        
84       I1         2.690381651    3.536838627    0.7585636356   1.222767776    1.536702811    -0.8469821281  7.783334953    
85       I1         0.8271815874   3.636498732    0.9793992248   9.430211796    1.182394389    -0.3929346623  3.459892341    
86       I1         1.252104445    3.011271165    0.2521699416   7.461284804    2.495236305    -0.7205383698  0.7441137215   
87       I1         0.6820325001   2.972203834    0.5706266937   5.472049183    2.044576588    0.3657906621   0.4679183656   
88       I1         2.078427936    2.833478831    0.1533036281   1.605374337    2.084667689    -0.8203420027  2.718628327    
89       I1         0.8643841704   3.873726145    0.5502500252   5.060679616    2.246028935    -0.4439452673  0.5959876388   
90       I1         0.5518231933   3.239335126    0.6341031159   8.155147296    2.10421286     -0.9748740323  1.009350083    
91       I1         1.015419197    4.680671828    0.6114612787   2.73431835     1.177076466    -0.9226737885  4.933575784    
92       I1         0.4817360052   2.200564449    0.09195397479  4.129357486    2.950747868    0.2117850099   0.7637813511   
93       I1         1.147804998    3.319870847    0.4891716977   6.149576435    2.068353521    0.466083092    0.6216166822   
94       I1         2.563270031    4.4828856      0.3308180983   4.814303723    1.869584999    0.2034776345   1.471521611    
95       I1         0.4286830519   3.259597699    0.2037085947   0.4661498173   2.978929107    -0.3149969088  0.7415151263   
96       I1         2.673368918    3.245916278    0.4173760915   9.48803899     2.853367774    0.1360824358   0.995192018    
97       I1         2.456637043    2.336152156    0.4331791088   4.231670335    1.366969046    0.2678116592   1.348744813    
98       I1         2.973576657    2.804902309    0.142636008    3.114819855    1.50820624     0.3078454261   1.206958101    
99       I1         0.9253953932   2.300407628    0.6215081235   4.077193751    1.920422282    -0.4077011255  0.4854363719   
100      I1         2.684786499    2.356970965    0.3991302431   7.334644695    2.090646104    0.05656241496  2.194909872    
101      I1         2.389702809    4.467721714    0.9728160268   3.431059655    1.873387979    0.2157283301   1.264495701    
102      I1         2.987834491    4.312812646    0.5364141223   3.859009342    2.455007251    -0.4532412802  5.4543424      
103      I1         2.350630536    2.837401751    0.7327696152   5.198087494    2.788246349    0.322193272    0.9400677762   
104      I1         0.9632457467   2.073259581    0.5240954976   8.871532098    2.930759654    -0.7407061537  0.5355561895   
105      I1         1.101410042    4.583449586    0.160055821    0.6401701583   1.667115124    0.4254129768   1.17956772     
106      I1         2.63674069     2.417955424    0.6603348559   4.649701664    1.218509684    0.4782106851   0.6630742056   
107      I1         0.7800113636   3.969308296    0.1664097414   7.296648978    2.598069634    -0.8665415695  1.065033507    
108      I1         1.362831593    3.781628904    0.9852979523   2.248863145    1.846160076    -0.8956986078  0.5975071178   
109      I1         0.3422645485   2.656305783    0.8500883531   1.333608902    1.499652838    0.3755849194   0.5753753478   
110      I1         0.5585921403   3.276899925    0.3209020759   6.017455003    2.870814354    0.1860748747   0.5981094176   
111      I1         2.505369413    2.431309189    0.3807446722   0.5712192909   2.989766006    -0.7251107479  0.9971356858   
112      I1         2.064282543    4.532656893    0.9416719719   6.929607906    2.811195788    0.1977057418   0.8513208731   
113      I1         0.9848508026   4.440460122    0.05919871104  9.537973458    2.460358755    -0.483209173   1.570950443    
114      I1         1.5071055      4.133001448    0.6944194301   9.398655765    1.650399773    -0.1548579875  1.591829932    
115      I1         0.3312710701   2.224739383    0.01877493931  6.676798735    2.541755111    -0.3585718123  0.8604606707   
116      I1         2.171559734    3.497577717    0.1971546893   8.398860836    2.426468061    0.2342739066   1.025099842    
